taxon,xd_ids,soc_ids,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude,glottocode
K_Hol,,,K,West-Southwest,K01,K-Hol,Holu,5,-7.7,17.5,holu1245
K_Cio,xd36,Ac12,K,West-Southwest,K11,K-Cio,Ciokwe,0,-9,20,chok1245
K_Luv,xd35,Ac11,K,West-Southwest,K14,K-Luv,Luvale,0,-13.1,22.1,luva1239
K_Lwe,xd35,Ac11,K,West-Southwest,K14,K-Lwe,Lwena,0,-12.4,22.4,luva1239
K_Mbu,,,K,West-Southwest,K15,K-Mbu,Mbunda,0,-11.8,19.9,mbun1249
K_Gan,,,K,West-Southwest,K19,K-Gan,Gangela,1,-14.1,21.4,
K_Sal,,,K,West-Southwest,K21,K-Sal,Salampasu,2,-7.5,22.5,sala1268
K_Nde,,,K,West-Southwest,K22,K-Nde,Ndembu,5,-10.7,22.4,
K_Lun,xd72,Ac6,K,West-Southwest,K23,K-Lun,Lunda,1,-12,24.2,lund1266
K_Ruu,,,K,West-Southwest,K23,K-Ruu,Ruund,9,-8.6,23,ruun1238
K_Luy,,,K,West-Southwest,K31,K-Luy,Luyi,1,-16.2,22,luya1241
K_Kwa,,,K,West-Southwest,K33,K-Kwa,Kwangali,0,-17.9,19.7,kwan1273
K_Dci,,,K,West-Southwest,K39,K-Dci,Dciriku,0,-17.9,20.8,diri1252
K_Mb4,xd39,Ac15,K,West-Southwest,K51B,K-Mb4,Mbala,0,-4.5,17.9,mbal1257
K_Phe,xd44,Ac2,K,West-Southwest,K52,K-Phe,Pheende,0,-6,19,phen1239
K_Kwe,,,K,West-Southwest,K53,K-Kwe,Kwezo,1,-5.6,18.4,kwes1244
L_Bwi,,,L,East-Central,L00,L-Bwi,Bwile,7,-8,29,bwil1245
L_Keb,,,L,East-Central,L00,L-Keb,Kebwe,4,-6.5,26.7,
L_Yaz,,,L,East-Central,L00,L-Yaz,Yazi,5,-5.3,26.8,hemb1242
L_Kei,,,L,East-Central,L21,L-Kei,Kete-I,3,-7.6,23.1,kete1252
L_Mba,,,L,West-Southwest,L22a,L-Mba,Mbagani,0,-6.7,21.7,
L_Lw1,,,L,West-Southwest,L22b,L-Lw1,Lwalwa,2,-7.2,21.8,lwal1238
L_Son,xd136,Ae18,L,East-Central,L23,L-Son,Songye,1,-6.15,24.4,song1303
L_Ba2,,,L,East-Central,L27a,L-Ba2,Bangubangu,4,-4.6,26.8,bang1350
L_LuK,xd134,Ae16,L,East-Central,L31,L-LuK,Luba-Ks,2,-6.5,23.5,luba1249
L_Kan,,,L,East-Central,L32,L-Kan,Kanyok,2,-7.1,23.4,kany1247
L_LuS,"xd182, xd61","Ac35, Ae6",L,East-Central,L33,L-LuS,Luba-Sh,1,-7.8,27,luba1250
L_He1,,,L,East-Central,L34,L-He1,Hemba,0,-5.7,26.7,hemb1242
L_He2,,,L,East-Central,L34,L-He2,Hemba-m,1,-5.5,26.8,hemb1242
L_San,xd137,Ae19,L,East-Central,L35,L-San,Sanga,0,-9.6,26.8,sang1331
L_Kao,xd58,Ac32,L,East-Central,L41,L-Kao,Kaonde,1,-12.2,26.8,kaon1241
L_Nko,,,L,East-Central,L62,L-Nko,Nkoya,1,-14.8,24.8,nkoy1244
M_Mam,xd70,Ac43,M,East-Central,M15,M-Mam,Mambwe,2,-9.2,31.8,mamb1296
M_Kon,xd68,Ac41,M,East-Coastal,M31,M-Kon,Konde,0,-8.95,33.55,mako1251
M_Ny1,,,M,East-Coastal,M31,M-Ny1,Nyakyusa,0,-9.7,33.9,nyak1260
M_Tem,,,M,East-Central,M40,M-Tem,Temba,1,-11.1,27.3,
M_Ta1,,,M,East-Central,M41,M-Ta1,Taabwa,0,-7.8,30,shil1264
M_Bem,,,M,East-Central,M42,M-Bem,Bemba,1,-12.6,28.2,bemb1257
M_Aus,,,M,East-Central,M43,M-Aus,Aushi,1,-11.2,26.8,aush1241
M_Ngu,,,M,East-Central,M50,M-Ngu,Ngumbo,0,-10.8,29.7,
M_Lal,xd59,Ac33,M,East-Central,M52,M-Lal,Lala,0,-13.3,30.2,lala1264
M_Lam,xd71,Ac5,M,East-Central,M54,M-Lam,Lamba,0,-12.9,28.6,lamb1271
M_Len,,,M,East-Central,M61,M-Len,Lenje,0,-15,27.5,lenj1248
M_Sol,,,M,East-Central,M62,M-Sol,Soli,1,-15.4,28.3,soli1239
M_To2,xd56,Ac30,M,East-Central,M64a,M-To2,Tonga,0,-16.8,27.2,tong1318
N_Mpo,,,N,East-Coastal,N14,N-Mpo,Mpoto,2,-10.7,35.6,mpot1240
N_Tu2,xd62,Ac36,N,East-Coastal,N21a,N-Tu2,Tumbuka,1,-11.6,33.6,tumb1250
N_Suk,,,N,East-Coastal,N25,N-Suk,Sukwa,0,-9.6,33.2,
N_Lam,,,N,East-Coastal,N26,N-Lam,Lambya,0,-9.7,33.6,lamb1272
N_Nys,xd65,Ac39,N,East-Coastal,N31,N-Nys,Nyasa,7,-11.2,35.8,mwer1247
N_Nyj,,,N,East-Coastal,N31a,N-Nyj,Nyanja,0,-12,33.5,nyan1308
N_Cew,,,N,East-Coastal,N31b,N-Cew,Cewa,1,-14,33.8,
N_Sng,,,N,East-Coastal,N41,N-Sng,Senga,0,-11.3,32.9,nsen1242
N_Kun,xd63,Ac37,N,East-Coastal,N42,N-Kun,Kunda,0,-15.5,30,kund1255
N_Sen,xd67,Ac40,N,East-Coastal,N44,N-Sen,Sena,2,-17,35.2,nucl1396
P_Ya1,xd73,Ac7,P,East-Coastal,P21,P-Ya1,Yao,0,-15.7,35.5,yaoo1241
P_Ma4,xd69,Ac42,P,East-Southeast,P31c,P-Ma4,Makua,0,-14,39.5,makh1264
P_Lom,,,P,East-Southeast,P32,P-Lom,Lomwe,0,-16.5,36.5,lomw1241
R_Um1,xd28,"Ab5, SCCS5",R,West-Southwest,R11,R-Um1,Umbundu,0,-11.3,16.2,umbu1257
R_Nku,,,R,West-Southwest,R14,R-Nku,Nkumbi,13,-16.5,14.6,
R_Kwa,,,R,West-Southwest,R21,R-Kwa,Kwanyama,0,-17,16.8,kuan1247
R_Ndo,xd20,Ab19,R,West-Southwest,R22,R-Ndo,Ndonga,0,-18,16.8,ndon1254
R_Her,xd10,Ab1,R,West-Southwest,R31,R-Her,Herero,0,-17,12,here1253
S_Mba,,,S,East-South,S00,S-Mba,Mbalangwe,0,-17.8,23,
S_Sho,xd19,Ab18,S,East-South,S10,S-Sho,Shona,0,-19,30,shon1251
S_Kor,,,S,East-South,S11,S-Kor,Korekore,4,-17,30,kore1281
S_Zez,,,S,East-South,S12,S-Zez,Zezuru,0,-17.8,31.1,zezu1238
S_Man,,,S,East-South,S13,S-Man,Manyika,0,-18.5,31.1,many1258
S_Kar,,,S,East-South,S14,S-Kar,Karanga,0,-20.1,30.8,kara1480
S_Nda,xd18,Ab17,S,East-South,S15,S-Nda,Ndau,0,-19.8,34.8,ndau1241
S_Kal,,,S,East-South,S16,S-Kal,Kalanga,1,-20.45,27.8,kala1384
S_Ven,xd29,Ab6,S,East-South,S21,S-Ven,Venda,1,-22.2,30,vend1245
S_Twn,xd14,Ab13,S,East-South,S31,S-Twn,Tswana,0,-25.5,25.9,tswa1253
S_Kha,,,S,East-South,S31d,S-Kha,Khalaxadi,4,-13.7,22,kgal1244
S_Sot,xd31,Ab8,S,East-South,S32,S-Sot,Sotho-N,0,-30,28,sout2807
S_Loz,xd26,"Ab3, SCCS4",S,East-South,S34,S-Loz,Lozi,0,-17.9,26,lozi1239
S_Xho,,,S,East-South,S41,S-Xho,Xhosa,0,-32,27,xhos1239
S_Zul,xd13,Ab12,S,East-South,S42,S-Zul,Zulu,0,-28,32,zulu1248
S_Swa,xd21,Ab2,S,East-South,S43,S-Swa,Swati,0,-26.5,31.5,swat1243
S_Nde,xd32,Ab9,S,East-South,S44,S-Nde,Ndebele,0,-19.5,29,nort2795
S_Ngo,xd75,Ac9,S,East-South,S45,S-Ngo,Ngoni,3,-11.65,33.65,ngon1269
S_Tsw,,,S,East-South,S51,S-Tsw,Tswa,6,-23.8,35,tswa1255
S_Nku,,,S,East-South,S52,S-Nku,Nkuna,6,-24.1,30.3,
S_Tso,xd27,"Ab4, SCCS3",S,East-South,S53,S-Tso,Tsonga,0,-23,33.5,tson1249
S_Ron,,,S,East-South,S54,S-Ron,Ronga,6,-26,33,rong1268
S_Kon,,,S,East-South,S54a,S-Kon,Konde,6,-27,32.6,kond1296
S_Lul,,,S,East-South,S54b,S-Lul,Luleke,9,-22.4,31.2,lule1255
Eja,xd195,Af18,0,Bantoid,800,Eja,Ejagham,0,5.5,9.2,ejag1239
